condition;mu;density;converged;run_time;rxn1;Ribosome
1;2.683105890451421;1.0;1;0.16945314407348633;1.0;0.812691003536475
2;2.678685062804651;1.0;1;0.1322031021118164;1.0;0.8130665800075141
3;2.6720848549170153;1.0;1;0.1284940242767334;1.0;0.8136254039148637
4;2.6622536618443586;1.0;1;0.13216519355773926;1.0;0.814453623335296
5;2.6476600510916923;1.0;1;0.13439202308654785;1.0;0.8156739980623385
6;2.626106625693696;1.0;1;0.12607693672180176;1.0;0.8174569722460194
7;2.5945099622481473;1.0;1;0.12235474586486816;1.0;0.8200302767710257
8;2.5486869011829674;1.0;1;0.17593717575073242;1.0;0.8236805182168383
9;2.483247930104809;1.0;1;0.12653112411499023;1.0;0.8287362594078669
10;2.391790810579159;1.0;1;0.12386703491210938;1.0;0.8355195083608618
11;2.267679211049833;1.0;1;0.12574505805969238;1.0;0.844259333161856
12;2.105672958027322;1.0;1;0.14391493797302246;1.0;0.8549841783631226
13;1.9043638500977207;1.0;1;0.12469696998596191;1.0;0.8674409190852194
14;1.6686663702096687;1.0;1;0.12549805641174316;1.0;0.8810984388329012
15;1.410861024149229;1.0;1;0.12418699264526367;1.0;0.8952542468064272
16;1.1487903299507327;1.0;1;0.1272118091583252;1.0;0.9091963588117297
17;0.901361923156085;1.0;1;0.1251661777496338;1.0;0.9223424317465247
18;0.683517880102972;1.0;1;0.1258382797241211;1.0;0.9343073903718047
19;0.5032570126104721;1.0;1;0.1409611701965332;1.0;0.94490125765553
20;0.3616680693781994;1.0;1;0.12535810470581055;1.0;0.9540871625319899
21;0.2550026598538917;1.0;1;0.12389039993286133;1.0;0.9619293321258748
22;0.17719592750498636;1.0;1;0.12649106979370117;1.0;0.968548130424236
23;0.12179748826017886;1.0;1;0.12642526626586914;1.0;0.9740877555071259
24;0.08305073217495013;1.0;1;0.13057303428649902;1.0;0.9786957707984677
25;0.056299641474297266;1.0;1;0.1329209804534912;1.0;0.9825115881192628
