condition;mu;density;converged;run_time;G_transport;CO2_excretion;AA_production;Ribosome
1;2.189107846990734;1.0;1;0.5073790550231934;1.1772049468332157;0.17720494683321567;1.043798617703009;0.6975560715463619
2;2.1691132854458024;1.0;1;0.5006680488586426;1.1779855801001275;0.17798558010012744;1.046490120575431;0.700738842658164
3;2.1399333374383676;1.0;1;0.5001800060272217;1.1790945811971534;0.1790945811971533;1.050303834942771;0.7052884824299672
4;2.0978807885412665;1.0;1;0.49308180809020996;1.1806341831519043;0.18063418315190416;1.0555788311468997;0.7116595632624202
5;2.038339490186511;1.0;1;0.49570798873901367;1.1827074067963264;0.18270740679632627;1.0626457037021957;0.7203398966996308
6;1.9560578234476902;1.0;1;0.49041175842285156;1.1853936173385515;0.18539361733855145;1.0717385869250013;0.731759032785154
7;1.8459675134518951;1.0;1;0.4864943027496338;1.188717480137386;0.188717480137386;1.0828881528371253;0.7461553543587294
8;1.7046636743567454;1.0;1;0.4920670986175537;1.1926243105842151;0.19262431058421503;1.0958441561764083;0.7634427127731769
9;1.5323526092927502;1.0;1;0.4923720359802246;1.196977673839433;0.196977673839433;1.1100824940496663;0.7831438129656979
10;1.3345193410589982;1.0;1;0.42553091049194336;1.2015853520177597;0.20158535201775965;1.1249111040544728;0.8044421220588336
11;1.122164297276735;1.0;1;0.49178004264831543;1.206242196058379;0.2062421960583788;1.139626177611999;0.8263429866230413
12;0.9098355421860973;1.0;1;0.4303600788116455;1.2107695139554464;0.21076951395544632;1.153644765117931;0.8478743010485722
13;0.711978850150763;1.0;1;0.4346017837524414;1.2150371894115075;0.2150371894115074;1.1665697893203244;0.8682458862465181
14;0.5393666269002734;1.0;1;0.3768751621246338;1.2189670850434329;0.21896708504343276;1.1781898142115357;0.886924579754847
15;0.3972967532483145;1.0;1;0.3817110061645508;1.2225248191779525;0.22252481917795242;1.1884417597964152;0.9036312047928511
16;0.28594840020827883;0.9999999999999999;1;0.45938992500305176;1.2257073234358205;0.22570732343582053;1.1973634648183027;0.9182912263912288
17;0.20205081622375015;0.9999999999999999;1;0.5054931640625;1.228531306573241;0.22853130657324114;1.2050520820556396;0.930971559919449
18;0.14074844850310306;0.9999999999999999;1;0.7304220199584961;1.231024200705999;0.23102420070599913;1.2116332301446295;0.9418232416878212
19;0.09698994122156011;0.9999999999999999;1;0.8587000370025635;1.233217880578347;0.23321788057834703;1.21724067163807;0.9510379303836166
20;0.066295286565235;1.0;1;1.0187950134277344;1.2351445348590386;0.2351445348590386;1.222004022979159;0.9588185332736097
21;0.04504091505089423;0.9999999999999999;1;1.0799591541290283;1.2368345946972743;0.2368345946972744;1.226042518157732;0.9653616655875411
22;0.030462914888202467;1.0;1;1.4380760192871094;1.2383017057504986;0.2383017057504986;1.229448123088159;0.9708368543248933
23;0.02053395696144676;1.0;1;1.9322328567504883;1.239573368068981;0.23957336806898105;1.2323164752364493;0.9754076693613406
24;0.01380629789102361;1.0;1;2.407817840576172;1.2405695572559647;0.24056955725596477;1.2346249875041937;0.979132743549929
25;0.009265204735493977;1.0;1;3.514735221862793;1.2413348414762904;0.24133484147629042;1.2364679761988124;0.982153874599548
