condition;mu;density;converged;run_time;rxn1;rxn2;rxn3;rxn4;Ribosome
1;2.2554043381103464;1.0;True;1.4503240585327148;0.5559145767180611;0.44408542328193884;1e-10;0.5979934423045875;0.5649557144503817
2;2.2545705427961904;1.0;True;1.347848892211914;0.5558727784141537;0.4441272215858462;1e-10;0.5980466027476118;0.5650984168220965
3;2.253321515640376;1.0;True;1.3748750686645508;0.5558103330614861;0.44418966693851386;1e-10;0.5981259646893731;0.5653117947245756
4;2.251451708711986;1.0;True;1.384110927581787;0.5557172456733106;0.4442827543266894;1e-10;0.5982442027957787;0.5656304018826631
5;2.2486553516260557;1.0;True;1.4349069595336914;0.5555789075931089;0.4444210924068911;1e-10;0.598419783531572;0.5661050765376033
6;2.2444794520100144;1.0;True;1.3260009288787842;0.5553742459016535;0.4446257540983465;1e-10;0.5986792298960575;0.5668099154610905
7;2.2382570082225386;1.0;True;1.3783481121063232;0.5550734625301452;0.44492653746985483;1e-10;0.5990598344741728;0.567851426249168
8;2.2290147853569198;1.0;True;1.3919260501861572;0.5546356753470126;0.44536432465298736;1e-10;0.5996123878202037;0.5693796057143377
9;2.2153516465374254;1.0;True;1.3629651069641113;0.5540072589711971;0.4459927410288029;1e-10;0.6004026867681831;0.5715992915994677
10;2.195289817755944;1.0;True;1.4180881977081299;0.5531226811727628;0.44687731882723725;1e-10;0.6015097896123932;0.5747780858000346
11;2.166117011780576;1.0;True;1.2795679569244385;0.5519104954888584;0.4480895045111416;1e-10;0.6030177978779353;0.5792435055820013
12;2.124267361579511;1.0;True;1.4028699398040771;0.5503074719731528;0.4496925280268472;1e-10;0.6049988101150378;0.5853596111871755
13;2.065335832761241;1.0;True;1.3657138347625732;0.5482816670253516;0.4517183329746483;1e-10;0.6074891285610715;0.593475178864131
14;1.9843739552748563;1.0;True;1.371325969696045;0.5458593645533159;0.4541406354466842;1e-10;0.6104687624914343;0.6038455301583919
15;1.876638050406557;1.0;True;1.3635849952697754;0.5431441772351613;0.45685582276483877;1e-10;0.6138602064755102;0.6165480450599998
16;1.7388848551980167;1.0;True;1.1825079917907715;0.5403151034773029;0.45968489652269706;1e-10;0.617554691147944;0.6314247669055117
17;1.5838898235192793;1.0;True;5.047961950302124;0.4790791726638556;0.5209208273361444;0.6061858664232387;1e-10;0.6297398836379385
18;1.4024707941855812;1.0;True;3.667328119277954;0.4755183873342712;0.5244816126657288;0.6117345306564238;1e-10;0.6484315749364811
19;1.2031375680617455;1.0;True;3.4696340560913086;0.4724785471548406;0.5275214528451594;0.6172804524474136;1e-10;0.6677679700701737
20;0.997694714567306;1.0;True;3.382704973220825;0.4700944415940892;0.5299055584059108;0.6227794273807672;1e-10;0.6871175990451491
21;0.7994031094736238;1.0;True;3.3518259525299072;0.46841592001549115;0.5315840799845089;0.628208113173467;1e-10;0.7059407817754831
22;0.6198535582293544;1.0;True;3.3893849849700928;0.46741918237423796;0.532580817625762;0.6335409646977974;1e-10;0.7238262006122042
23;0.46658061097406556;1.0;True;3.771270751953125;0.46702653977103603;0.532973460228964;0.6387381684516957;1e-10;0.740492503872359
24;0.3423391178328843;1.0;True;4.059843063354492;0.4671285231030867;0.5328714768969133;0.6437456270101515;1e-10;0.7557704859597335
25;0.24591694192596023;1.0;True;4.306990146636963;0.467595752020769;0.532404247979231;0.648491031092661;1e-10;0.7695657342826602
